Occupation,Occupation Code,2018 Employment,2028 Employment,Numeric Change,Percent Change,Median
Secretaries except legal,43-6014,"2,382.5","2,170.0",-212.5,-8.9,37690
Assemblers and fabricators,51-2098,"1,379.4","1,217.0",-162.4,-11.8,32350
Cashiers,41-2011,"3,648.5","3,509.8",-138.7,-3.8,23650
Executive secretaries,43-6011,622.5,499.4,-123.0,-19.8,60890
Office clerks,43-9061,"3,158.5","3,047.8",-110.6,-3.5,34040
Retail salespersons,41-2031,"4,510.9","4,409.1",-101.9,-2.3,25250
Inspectors and testers,51-9061,574.0,473.1,-100.9,-17.6,39140
Bookkeeping clerks,43-3031,"1,707.7","1,641.9",-65.8,-3.9,41230
Postal service mail carriers,43-5052,328.7,263.7,-65.1,-19.8,51310
Tellers,43-3071,472.1,414.3,-57.8,-12.2,31230
Customer service reps,43-4051,"2,972.6","2,921.0",-51.6,-1.7,34710
Data entry keyers,43-9021,187.3,143.9,-43.4,-23.2,33490
"Cooks, fast food",35-2011,491.3,453.2,-38.1,-7.7,23510
Legal secretaries,43-6012,180.1,142.5,-37.6,-20.9,47300
Buyers and purchasing agents,13-1020,432.2,400.2,-32.0,-7.4,64380
Correctional officers,33-3012,434.3,402.9,-31.4,-7.2,45180
"Supervisors, retail sales",41-1011,"1,548.3","1,518.1",-30.2,-1.9,40350
Telemarketers,41-9041,167.7,139.8,-27.8,-16.6,26290
Maids/housekeeping,37-2012,"1,494.4","1,469.0",-25.4,-1.7,24850
Postal service mail sorters,43-5053,99.7,76.0,-23.7,-23.8,60140
"Packers and packagers, hand",53-7064,673.4,650.0,-23.4,-3.5,25910
Printing press operators,51-5112,175.7,154.9,-20.8,-11.8,36910
Word processors and typists,43-9022,60.4,40.0,-20.4,-33.8,40340
Bill and account collectors,43-3011,258.0,238.6,-19.4,-7.5,37000
Sewing machine operators,51-6031,151.6,133.5,-18.1,-11.9,26420
Computer programmers,15-1131,250.3,232.3,-17.9,-7.2,86550
"Switchboard operators, including answering service",43-2011,73.4,55.9,-17.5,-23.8,30610
"Hotel, motel, and resort desk clerks",43-4081,265.4,248.7,-16.7,-6.3,24470
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,188.8,172.8,-16.0,-8.5,35610
File clerks,43-4071,116.9,101.1,-15.7,-13.5,32710
