area_fips,county,state,lq
1001,Autauga County,Alabama,0.67
1003,Baldwin County,Alabama,0.93
1005,Barbour County,Alabama,0
1007,Bibb County,Alabama,0.78
1009,Blount County,Alabama,0
1011,Bullock County,Alabama,1.14
1013,Butler County,Alabama,0
1015,Calhoun County,Alabama,0.69
1017,Chambers County,Alabama,0
1019,Cherokee County,Alabama,0
1021,Chilton County,Alabama,0
1023,Choctaw County,Alabama,0
1025,Clarke County,Alabama,0.76
1027,Clay County,Alabama,0
1029,Cleburne County,Alabama,0.21
1031,Coffee County,Alabama,0.94
1033,Colbert County,Alabama,0.57
1035,Conecuh County,Alabama,0
1037,Coosa County,Alabama,0
1039,Covington County,Alabama,0
1041,Crenshaw County,Alabama,0
1043,Cullman County,Alabama,1.01
1045,Dale County,Alabama,0.43
1047,Dallas County,Alabama,1.05
1049,DeKalb County,Alabama,0.85
1051,Elmore County,Alabama,0.76
1053,Escambia County,Alabama,0.68
1055,Etowah County,Alabama,0
1057,Fayette County,Alabama,0
1059,Franklin County,Alabama,0
1061,Geneva County,Alabama,0.38
1063,Greene County,Alabama,0
1065,Hale County,Alabama,0.67
1067,Henry County,Alabama,0
1069,Houston County,Alabama,1.11
1071,Jackson County,Alabama,0
1073,Jefferson County,Alabama,1.06
1075,Lamar County,Alabama,0.77
1077,Lauderdale County,Alabama,1.08
1079,Lawrence County,Alabama,0
1081,Lee County,Alabama,0.46
1083,Limestone County,Alabama,0.4
1085,Lowndes County,Alabama,0
1087,Macon County,Alabama,0
1089,Madison County,Alabama,0.63
1091,Marengo County,Alabama,0
1093,Marion County,Alabama,0
1095,Marshall County,Alabama,0.5
1097,Mobile County,Alabama,1.03
1099,Monroe County,Alabama,0
1101,Montgomery County,Alabama,0.7
1103,Morgan County,Alabama,0.66
1105,Perry County,Alabama,0.91
1107,Pickens County,Alabama,0
1109,Pike County,Alabama,0
1111,Randolph County,Alabama,0
1113,Russell County,Alabama,0.86
1115,St. Clair County,Alabama,0.75
1117,Shelby County,Alabama,0.65
1119,Sumter County,Alabama,0.78
1121,Talladega County,Alabama,0
1123,Tallapoosa County,Alabama,0
1125,Tuscaloosa County,Alabama,0.57
1127,Walker County,Alabama,1.45
1129,Washington County,Alabama,0
1131,Wilcox County,Alabama,0
1133,Winston County,Alabama,0.75
2013,Aleutians East Borough,Alaska,0
2016,Aleutians West Census Area,Alaska,0.24
2020,Anchorage Municipality,Alaska,1.24
2050,Bethel Census Area,Alaska,0
2060,Bristol Bay Borough,Alaska,0
2068,Denali Borough,Alaska,0.1
2070,Dillingham Census Area,Alaska,1.82
2090,Fairbanks North Star Borough,Alaska,1.09
2100,Haines Borough,Alaska,1.02
2105,Hoonah-Angoon Census Area,Alaska,0.45
2110,Juneau City and Borough,Alaska,0.7
2122,Kenai Peninsula Borough,Alaska,1.24
2130,Ketchikan Gateway Borough,Alaska,1.04
2150,Kodiak Island Borough,Alaska,0
2158,Kusilvak Census Area,Alaska,0
2164,Lake and Peninsula Borough,Alaska,0
2170,Matanuska-Susitna Borough,Alaska,1.34
2180,Nome Census Area,Alaska,0
2185,North Slope Borough,Alaska,0
2188,Northwest Arctic Borough,Alaska,0
2195,Petersburg Borough,Alaska,0
2198,Prince of Wales-Hyder Census Area,Alaska,0.56
2220,Sitka City and Borough,Alaska,1.08
2230,Skagway Municipality,Alaska,0.09
2240,Southeast Fairbanks Census Area,Alaska,0
2261,Valdez-Cordova Census Area,Alaska,0.58
2275,Wrangell City and Borough,Alaska,0
2282,Yakutat City and Borough,Alaska,1.24
2290,Yukon-Koyukuk Census Area,Alaska,0
4001,Apache County,Arizona,1.04
4003,Cochise County,Arizona,0.83
4005,Coconino County,Arizona,1.01
4007,Gila County,Arizona,0.68
4009,Graham County,Arizona,0.88
4011,Greenlee County,Arizona,0
4012,La Paz County,Arizona,0
4013,Maricopa County,Arizona,0.97
4015,Mohave County,Arizona,1.21
4017,Navajo County,Arizona,1.06
4019,Pima County,Arizona,1.21
4021,Pinal County,Arizona,0.62
4023,Santa Cruz County,Arizona,0.36
4025,Yavapai County,Arizona,1.19
4027,Yuma County,Arizona,0.81
5001,Arkansas County,Arkansas,0
5003,Ashley County,Arkansas,0
5005,Baxter County,Arkansas,1.89
5007,Benton County,Arkansas,0.64
5009,Boone County,Arkansas,0.83
5011,Bradley County,Arkansas,1.33
5013,Calhoun County,Arkansas,0.14
5015,Carroll County,Arkansas,0.76
5017,Chicot County,Arkansas,1.62
5019,Clark County,Arkansas,0
5021,Clay County,Arkansas,1.15
5023,Cleburne County,Arkansas,0
5025,Cleveland County,Arkansas,1.3
5027,Columbia County,Arkansas,0
5029,Conway County,Arkansas,0
5031,Craighead County,Arkansas,1.56
5033,Crawford County,Arkansas,0.62
5035,Crittenden County,Arkansas,0.86
5037,Cross County,Arkansas,0
5039,Dallas County,Arkansas,0
5041,Desha County,Arkansas,0
5043,Drew County,Arkansas,1.06
5045,Faulkner County,Arkansas,1.16
5047,Franklin County,Arkansas,0.86
5049,Fulton County,Arkansas,0
5051,Garland County,Arkansas,1.59
5053,Grant County,Arkansas,0
5055,Greene County,Arkansas,0.92
5057,Hempstead County,Arkansas,0
5059,Hot Spring County,Arkansas,0
5061,Howard County,Arkansas,0.9
5063,Independence County,Arkansas,1.54
5065,Izard County,Arkansas,1.73
5067,Jackson County,Arkansas,0
5069,Jefferson County,Arkansas,1.28
5071,Johnson County,Arkansas,0
5073,Lafayette County,Arkansas,0
5075,Lawrence County,Arkansas,0
5077,Lee County,Arkansas,0
5079,Lincoln County,Arkansas,1.12
5081,Little River County,Arkansas,0.46
5083,Logan County,Arkansas,1.01
5085,Lonoke County,Arkansas,0.9
5087,Madison County,Arkansas,0.58
5089,Marion County,Arkansas,0.65
5091,Miller County,Arkansas,0
5093,Mississippi County,Arkansas,0
5095,Monroe County,Arkansas,0
5097,Montgomery County,Arkansas,0.31
5099,Nevada County,Arkansas,1.29
5101,Newton County,Arkansas,0
5103,Ouachita County,Arkansas,0
5105,Perry County,Arkansas,0
5107,Phillips County,Arkansas,1.55
5109,Pike County,Arkansas,0
5111,Poinsett County,Arkansas,1.12
5113,Polk County,Arkansas,0
5115,Pope County,Arkansas,0.92
5117,Prairie County,Arkansas,1.21
5119,Pulaski County,Arkansas,1.09
5121,Randolph County,Arkansas,0
5123,St. Francis County,Arkansas,0
5125,Saline County,Arkansas,1.37
5127,Scott County,Arkansas,0
5129,Searcy County,Arkansas,1.72
5131,Sebastian County,Arkansas,1.26
5133,Sevier County,Arkansas,0.83
5135,Sharp County,Arkansas,0
5137,Stone County,Arkansas,0
5139,Union County,Arkansas,0.96
5141,Van Buren County,Arkansas,0
5143,Washington County,Arkansas,1.04
5145,White County,Arkansas,1.37
5147,Woodruff County,Arkansas,1.02
5149,Yell County,Arkansas,0
6001,Alameda County,California,1.01
6003,Alpine County,California,0.28
6005,Amador County,California,0
6007,Butte County,California,1.69
6009,Calaveras County,California,0.83
6011,Colusa County,California,0
6013,Contra Costa County,California,1.25
6015,Del Norte County,California,0
6017,El Dorado County,California,0.96
6019,Fresno County,California,1.22
6021,Glenn County,California,0
6023,Humboldt County,California,1.33
6025,Imperial County,California,0.97
6027,Inyo County,California,0
6029,Kern County,California,0.8
6031,Kings County,California,1.01
6033,Lake County,California,2.11
6035,Lassen County,California,0
6037,Los Angeles County,California,1.17
6039,Madera County,California,1.23
6041,Marin County,California,1.06
6043,Mariposa County,California,0
6045,Mendocino County,California,1.28
6047,Merced County,California,0.88
6049,Modoc County,California,0
6051,Mono County,California,0
6053,Monterey County,California,0.66
6055,Napa County,California,0.8
6057,Nevada County,California,1.14
6059,Orange County,California,0.87
6061,Placer County,California,1.15
6063,Plumas County,California,0.62
6065,Riverside County,California,1.01
6067,Sacramento County,California,1.11
6069,San Benito County,California,0.54
6071,San Bernardino County,California,1.06
6073,San Diego County,California,0.89
6075,San Francisco County,California,0.72
6077,San Joaquin County,California,0.96
6079,San Luis Obispo County,California,0.91
6081,San Mateo County,California,0.72
6083,Santa Barbara County,California,0.9
6085,Santa Clara County,California,0.82
6087,Santa Cruz County,California,1.07
6089,Shasta County,California,1.53
6091,Sierra County,California,0.96
6093,Siskiyou County,California,1.12
6095,Solano County,California,1.27
6097,Sonoma County,California,1.14
6099,Stanislaus County,California,1.22
6101,Sutter County,California,1.09
6103,Tehama County,California,1.14
6105,Trinity County,California,0
6107,Tulare County,California,0.66
6109,Tuolumne County,California,1.2
6111,Ventura County,California,0.91
6113,Yolo County,California,0.67
6115,Yuba County,California,0
8001,Adams County,Colorado,0.69
8003,Alamosa County,Colorado,1.56
8005,Arapahoe County,Colorado,0.96
8007,Archuleta County,Colorado,0.69
8009,Baca County,Colorado,0
8011,Bent County,Colorado,0.38
8013,Boulder County,Colorado,0.92
8014,Broomfield County,Colorado,0.52
8015,Chaffee County,Colorado,0.44
8017,Cheyenne County,Colorado,0
8019,Clear Creek County,Colorado,0.17
8021,Conejos County,Colorado,1.07
8023,Costilla County,Colorado,0.53
8025,Crowley County,Colorado,0.56
8027,Custer County,Colorado,0
8029,Delta County,Colorado,1.11
8031,Denver County,Colorado,0.74
8033,Dolores County,Colorado,0
8035,Douglas County,Colorado,0.78
8037,Eagle County,Colorado,0.53
8039,Elbert County,Colorado,0
8041,El Paso County,Colorado,0.91
8043,Fremont County,Colorado,1.21
8045,Garfield County,Colorado,0.78
8047,Gilpin County,Colorado,0
8049,Grand County,Colorado,0.25
8051,Gunnison County,Colorado,0.26
8053,Hinsdale County,Colorado,0
8055,Huerfano County,Colorado,0
8057,Jackson County,Colorado,0
8059,Jefferson County,Colorado,0.96
8061,Kiowa County,Colorado,0
8063,Kit Carson County,Colorado,0.45
8065,Lake County,Colorado,0
8067,La Plata County,Colorado,0.99
8069,Larimer County,Colorado,0.73
8071,Las Animas County,Colorado,1.29
8073,Lincoln County,Colorado,0.45
8075,Logan County,Colorado,1.16
8077,Mesa County,Colorado,1.27
8079,Mineral County,Colorado,0
8081,Moffat County,Colorado,0
8083,Montezuma County,Colorado,1.27
8085,Montrose County,Colorado,1.02
8087,Morgan County,Colorado,0.73
8089,Otero County,Colorado,0
8091,Ouray County,Colorado,0.19
8093,Park County,Colorado,0.2
8095,Phillips County,Colorado,0
8097,Pitkin County,Colorado,0.17
8099,Prowers County,Colorado,0.74
8101,Pueblo County,Colorado,1.51
8103,Rio Blanco County,Colorado,0.13
8105,Rio Grande County,Colorado,0
8107,Routt County,Colorado,0.53
8109,Saguache County,Colorado,0.34
8111,San Juan County,Colorado,0
8113,San Miguel County,Colorado,0.3
8115,Sedgwick County,Colorado,0.2
8117,Summit County,Colorado,0.45
8119,Teller County,Colorado,0.43
8121,Washington County,Colorado,0.16
8123,Weld County,Colorado,0.64
8125,Yuma County,Colorado,0
9001,Fairfield County,Connecticut,1.14
9003,Hartford County,Connecticut,1.15
9005,Litchfield County,Connecticut,1.19
9007,Middlesex County,Connecticut,1.35
9009,New Haven County,Connecticut,1.42
9011,New London County,Connecticut,1.02
9013,Tolland County,Connecticut,1.01
9015,Windham County,Connecticut,1.3
10001,Kent County,Delaware,1.12
10003,New Castle County,Delaware,1.23
10005,Sussex County,Delaware,1.07
11001,District of Columbia,District of Columbia,0.67
12001,Alachua County,Florida,1.32
12003,Baker County,Florida,0.78
12005,Bay County,Florida,0.99
12007,Bradford County,Florida,0.87
12009,Brevard County,Florida,1.08
12011,Broward County,Florida,0.81
12013,Calhoun County,Florida,1.66
12015,Charlotte County,Florida,1.44
12017,Citrus County,Florida,1.65
12019,Clay County,Florida,1.33
12021,Collier County,Florida,1
12023,Columbia County,Florida,0.99
12027,DeSoto County,Florida,0.71
12029,Dixie County,Florida,0.4
12031,Duval County,Florida,1.04
12033,Escambia County,Florida,1.2
12035,Flagler County,Florida,0.89
12037,Franklin County,Florida,0
12039,Gadsden County,Florida,0.32
12041,Gilchrist County,Florida,0.95
12043,Glades County,Florida,0.35
12045,Gulf County,Florida,0
12047,Hamilton County,Florida,0
12049,Hardee County,Florida,0
12051,Hendry County,Florida,0.45
12053,Hernando County,Florida,1.45
12055,Highlands County,Florida,1.52
12057,Hillsborough County,Florida,0.9
12059,Holmes County,Florida,0
12061,Indian River County,Florida,1.33
12063,Jackson County,Florida,0.77
12065,Jefferson County,Florida,0
12067,Lafayette County,Florida,0
12069,Lake County,Florida,1.29
12071,Lee County,Florida,0.76
12073,Leon County,Florida,0.99
12075,Levy County,Florida,0.58
12077,Liberty County,Florida,0
12079,Madison County,Florida,1.27
12081,Manatee County,Florida,0.99
12083,Marion County,Florida,1.25
12085,Martin County,Florida,1.47
12086,Miami-Dade County,Florida,0.96
12087,Monroe County,Florida,0.41
12089,Nassau County,Florida,0.72
12091,Okaloosa County,Florida,0.77
12093,Okeechobee County,Florida,0
12095,Orange County,Florida,0.7
12097,Osceola County,Florida,1.02
12099,Palm Beach County,Florida,1.07
12101,Pasco County,Florida,1.34
12103,Pinellas County,Florida,1.17
12105,Polk County,Florida,0.96
12107,Putnam County,Florida,1.07
12109,St. Johns County,Florida,0.93
12111,St. Lucie County,Florida,1.15
12113,Santa Rosa County,Florida,0.95
12115,Sarasota County,Florida,1.35
12117,Seminole County,Florida,0.81
12119,Sumter County,Florida,1.23
12121,Suwannee County,Florida,0.91
12123,Taylor County,Florida,0.75
12125,Union County,Florida,0
12127,Volusia County,Florida,1.25
12129,Wakulla County,Florida,0.47
12131,Walton County,Florida,0.63
12133,Washington County,Florida,1.07
13001,Appling County,Georgia,0
13003,Atkinson County,Georgia,0.33
13005,Bacon County,Georgia,0
13007,Baker County,Georgia,0.47
13009,Baldwin County,Georgia,1.11
13011,Banks County,Georgia,0.18
13013,Barrow County,Georgia,0.66
13015,Bartow County,Georgia,0.58
13017,Ben Hill County,Georgia,0
13019,Berrien County,Georgia,0
13021,Bibb County,Georgia,1.44
13023,Bleckley County,Georgia,0.42
13025,Brantley County,Georgia,0.51
13027,Brooks County,Georgia,0.78
13029,Bryan County,Georgia,0.72
13031,Bulloch County,Georgia,0.94
13033,Burke County,Georgia,0
13035,Butts County,Georgia,0
13037,Calhoun County,Georgia,0
13039,Camden County,Georgia,0.56
13043,Candler County,Georgia,0
13045,Carroll County,Georgia,1.03
13047,Catoosa County,Georgia,0.77
13049,Charlton County,Georgia,0
13051,Chatham County,Georgia,0.93
13053,Chattahoochee County,Georgia,0
13055,Chattooga County,Georgia,0
13057,Cherokee County,Georgia,0.82
13059,Clarke County,Georgia,1.08
13061,Clay County,Georgia,1.5
13063,Clayton County,Georgia,0.53
13065,Clinch County,Georgia,0.25
13067,Cobb County,Georgia,0.75
13069,Coffee County,Georgia,0
13071,Colquitt County,Georgia,0
13073,Columbia County,Georgia,0.86
13075,Cook County,Georgia,0
13077,Coweta County,Georgia,1.06
13079,Crawford County,Georgia,0.84
13081,Crisp County,Georgia,0
13083,Dade County,Georgia,0.6
13085,Dawson County,Georgia,0.57
13087,Decatur County,Georgia,0
13089,DeKalb County,Georgia,1.05
13091,Dodge County,Georgia,0
13093,Dooly County,Georgia,0
13095,Dougherty County,Georgia,1.26
13097,Douglas County,Georgia,0.73
13099,Early County,Georgia,0
13101,Echols County,Georgia,0
13103,Effingham County,Georgia,0
13105,Elbert County,Georgia,0.47
13107,Emanuel County,Georgia,0
13109,Evans County,Georgia,0
13111,Fannin County,Georgia,0
13113,Fayette County,Georgia,1.13
13115,Floyd County,Georgia,1.56
13117,Forsyth County,Georgia,0.92
13119,Franklin County,Georgia,0
13121,Fulton County,Georgia,0.78
13123,Gilmer County,Georgia,0.46
13125,Glascock County,Georgia,0
13127,Glynn County,Georgia,0.98
13129,Gordon County,Georgia,0.64
13131,Grady County,Georgia,0
13133,Greene County,Georgia,0.84
13135,Gwinnett County,Georgia,0.67
13137,Habersham County,Georgia,0.36
13139,Hall County,Georgia,1.1
13141,Hancock County,Georgia,0
13143,Haralson County,Georgia,0
13145,Harris County,Georgia,0
13147,Hart County,Georgia,0.43
13149,Heard County,Georgia,0
13151,Henry County,Georgia,0.9
13153,Houston County,Georgia,0.54
13155,Irwin County,Georgia,0.4
13157,Jackson County,Georgia,0.31
13159,Jasper County,Georgia,0
13161,Jeff Davis County,Georgia,0
13163,Jefferson County,Georgia,0
13165,Jenkins County,Georgia,0.96
13167,Johnson County,Georgia,1.44
13169,Jones County,Georgia,0
13171,Lamar County,Georgia,0.55
13173,Lanier County,Georgia,0.15
13175,Laurens County,Georgia,0
13177,Lee County,Georgia,0
13179,Liberty County,Georgia,0.44
13181,Lincoln County,Georgia,0.2
13183,Long County,Georgia,0
13185,Lowndes County,Georgia,0.71
13187,Lumpkin County,Georgia,0
13189,McDuffie County,Georgia,0
13191,McIntosh County,Georgia,0.15
13193,Macon County,Georgia,0
13195,Madison County,Georgia,0
13197,Marion County,Georgia,0
13199,Meriwether County,Georgia,0
13201,Miller County,Georgia,0
13205,Mitchell County,Georgia,0
13207,Monroe County,Georgia,0.42
13209,Montgomery County,Georgia,0
13211,Morgan County,Georgia,0
13213,Murray County,Georgia,0
13215,Muscogee County,Georgia,0.99
13217,Newton County,Georgia,0.65
13219,Oconee County,Georgia,0.8
13221,Oglethorpe County,Georgia,0
13223,Paulding County,Georgia,0.95
13225,Peach County,Georgia,0
13227,Pickens County,Georgia,1.22
13229,Pierce County,Georgia,0
13231,Pike County,Georgia,0
13233,Polk County,Georgia,0.71
13235,Pulaski County,Georgia,2.24
13237,Putnam County,Georgia,0
13239,Quitman County,Georgia,0
13241,Rabun County,Georgia,0
13243,Randolph County,Georgia,0
13245,Richmond County,Georgia,1.29
13247,Rockdale County,Georgia,0.99
13249,Schley County,Georgia,0
13251,Screven County,Georgia,0
13253,Seminole County,Georgia,1.41
13255,Spalding County,Georgia,1.31
13257,Stephens County,Georgia,0
13259,Stewart County,Georgia,0
13261,Sumter County,Georgia,0
