area_fips,county,state,lq
1001,Autauga County,Alabama,1.64
1003,Baldwin County,Alabama,0.69
1005,Barbour County,Alabama,3.53
1007,Bibb County,Alabama,1.14
1009,Blount County,Alabama,1.82
1011,Bullock County,Alabama,3.28
1013,Butler County,Alabama,2.42
1015,Calhoun County,Alabama,1.71
1017,Chambers County,Alabama,2.92
1019,Cherokee County,Alabama,2.1
1021,Chilton County,Alabama,2.49
1023,Choctaw County,Alabama,0
1025,Clarke County,Alabama,2.42
1027,Clay County,Alabama,6.09
1029,Cleburne County,Alabama,1.71
1031,Coffee County,Alabama,2.5
1033,Colbert County,Alabama,3.12
1035,Conecuh County,Alabama,1.77
1037,Coosa County,Alabama,4.95
1039,Covington County,Alabama,2.29
1041,Crenshaw County,Alabama,3.56
1043,Cullman County,Alabama,2.29
1045,Dale County,Alabama,2.64
1047,Dallas County,Alabama,2.72
1049,DeKalb County,Alabama,3.39
1051,Elmore County,Alabama,1.42
1053,Escambia County,Alabama,1.88
1055,Etowah County,Alabama,1.74
1057,Fayette County,Alabama,2.65
1059,Franklin County,Alabama,5.12
1061,Geneva County,Alabama,1.64
1063,Greene County,Alabama,3.43
1065,Hale County,Alabama,2.15
1067,Henry County,Alabama,1.27
1069,Houston County,Alabama,1.02
1071,Jackson County,Alabama,4.01
1073,Jefferson County,Alabama,0.77
1075,Lamar County,Alabama,4.04
1077,Lauderdale County,Alabama,1.14
1079,Lawrence County,Alabama,0.38
1081,Lee County,Alabama,1.29
1083,Limestone County,Alabama,1.89
1085,Lowndes County,Alabama,4.49
1087,Macon County,Alabama,0
1089,Madison County,Alabama,1.22
1091,Marengo County,Alabama,2.28
1093,Marion County,Alabama,4.16
1095,Marshall County,Alabama,3.66
1097,Mobile County,Alabama,1.25
1099,Monroe County,Alabama,2.26
1101,Montgomery County,Alabama,1.17
1103,Morgan County,Alabama,2.96
1105,Perry County,Alabama,2.65
1107,Pickens County,Alabama,2.1
1109,Pike County,Alabama,1.64
1111,Randolph County,Alabama,2.58
1113,Russell County,Alabama,2.43
1115,St. Clair County,Alabama,2.15
1117,Shelby County,Alabama,0.75
1119,Sumter County,Alabama,1.43
1121,Talladega County,Alabama,3.65
1123,Tallapoosa County,Alabama,2.23
1125,Tuscaloosa County,Alabama,1.94
1127,Walker County,Alabama,1.53
1129,Washington County,Alabama,3.28
1131,Wilcox County,Alabama,3.64
1133,Winston County,Alabama,5.15
2013,Aleutians East Borough,Alaska,8.93
2016,Aleutians West Census Area,Alaska,5.69
2020,Anchorage Municipality,Alaska,0.16
2050,Bethel Census Area,Alaska,0
2060,Bristol Bay Borough,Alaska,5.92
2068,Denali Borough,Alaska,0
2070,Dillingham Census Area,Alaska,2.72
2090,Fairbanks North Star Borough,Alaska,0.18
2100,Haines Borough,Alaska,1.08
2105,Hoonah-Angoon Census Area,Alaska,0
2110,Juneau City and Borough,Alaska,0.22
2122,Kenai Peninsula Borough,Alaska,0.48
2130,Ketchikan Gateway Borough,Alaska,0.74
2150,Kodiak Island Borough,Alaska,2.58
2158,Kusilvak Census Area,Alaska,0
2164,Lake and Peninsula Borough,Alaska,0
2170,Matanuska-Susitna Borough,Alaska,0.15
2180,Nome Census Area,Alaska,0
2185,North Slope Borough,Alaska,0
2188,Northwest Arctic Borough,Alaska,0
2195,Petersburg Borough,Alaska,1.43
2198,Prince of Wales-Hyder Census Area,Alaska,0.8
2220,Sitka City and Borough,Alaska,1.32
2230,Skagway Municipality,Alaska,0.51
2240,Southeast Fairbanks Census Area,Alaska,0.14
2261,Valdez-Cordova Census Area,Alaska,1.38
2275,Wrangell City and Borough,Alaska,1.06
2282,Yakutat City and Borough,Alaska,0
2290,Yukon-Koyukuk Census Area,Alaska,0
4001,Apache County,Arizona,0.06
4003,Cochise County,Arizona,0.2
4005,Coconino County,Arizona,0.81
4007,Gila County,Arizona,0.93
4009,Graham County,Arizona,0.3
4011,Greenlee County,Arizona,0
4012,La Paz County,Arizona,0.29
4013,Maricopa County,Arizona,0.71
4015,Mohave County,Arizona,0.72
4017,Navajo County,Arizona,0.12
4019,Pima County,Arizona,0.79
4021,Pinal County,Arizona,0.71
4023,Santa Cruz County,Arizona,0.42
4025,Yavapai County,Arizona,0.68
4027,Yuma County,Arizona,0.46
5001,Arkansas County,Arkansas,4.34
5003,Ashley County,Arkansas,2.88
5005,Baxter County,Arkansas,1.91
