Occupation,Occupation Code,2018 Employment,2028 Employment,Numeric Change,Percent Change,Median
Personal care aides,39-9021,2421.2,3302.1,881.0,36.4,
Food preparation/serving workers,35-3021,3704.2,4344.3,640.1,17.3,
Registered nurses,29-1141,3059.8,3431.3,371.5,12.1,73300
Home health aides,31-1011,831.8,1136.6,304.8,36.6,
"Cooks, restaurant",35-2014,1362.3,1661.3,299.0,21.9,27790
"Software developers, applications",15-1132,944.2,1185.7,241.5,25.6,
Waiters and waitresses,35-3031,2634.6,2804.8,170.2,6.5,22890
General and operations managers,11-1021,2376.4,2541.4,165.0,6.9,100780
Janitors,37-2011,2404.4,2564.2,159.8,6.6,27430
Medical assistants,31-9092,686.6,841.5,154.9,22.6,34800
Construction laborers,47-2061,1405.0,1553.1,148.1,10.5,36860
Laborers and material movers,53-7062,2953.8,3097.9,144.0,4.9,29510
Market research analysts/ specialists,13-1161,681.9,821.1,139.2,20.4,63790
Nursing assistants,31-1014,1513.2,1648.6,135.4,8.9,29660
Management analysts,13-1111,876.3,994.6,118.3,13.5,85260
Supervisors-food prep/serving,35-1012,988.9,1096.1,107.2,10.8,33400
Landscaping workers,37-3011,1205.2,1311.6,106.4,8.8,30440
Financial managers,11-3031,653.6,758.3,104.7,16.0,129890
Heavy/tractor-trailer truck drivers,53-3032,1958.8,2058.5,99.7,5.1,45260
Medical secretaries,43-6013,601.7,698.1,96.4,16.0,36580
Accountants and auditors,13-2011,1424.0,1514.7,90.7,6.4,71550
"Maintenance and repair workers, general",49-9071,1488.0,1573.4,85.4,5.7,39080
Carpenters,47-2031,1006.5,1086.6,80.1,8.0,48330
Licensed practical and licensed vocational nurses,29-2061,728.9,807.0,78.1,10.7,47480
"Sales representatives, services, all other",41-3099,1060.6,1137.0,76.4,7.2,56130
Electricians,47-2111,715.4,789.5,74.1,10.4,56180
Taxi drivers and chauffeurs,53-3041,370.4,442.8,72.4,19.5,
Medical and health services managers,11-9111,406.1,477.6,71.6,17.6,100980
"Business operations specialists, all other",13-1199,1135.7,1207.0,71.3,6.3,73570
Computer user support specialists,15-1151,671.8,742.7,70.9,10.6,52270
