"Occupation Code","Occupational Title","subtot","Occupation Group","2018 Employment","2028 Employment","Numeric Change","Percent Change","Labor Force Exits","Occupational Transfers","Total Separations","Percent Labor Force Exits","Percent Occupational Transfers","Occupational Openings","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","Education","Work Experience"
"000000","Total, All Occupations","1","Total","161037.700000","169435.900000","8398.100000","5.2000","7209.300000","11644.900000","18854.200000","38.200000000000000000","61.800000000000000000","19694.000000","21530","27080","39810","64240","101020","N/A","N/A"
"110000","Management Occupations","2","Management","10193.300000","10900.200000","706.900000","6.9000","284.900000","599.500000","884.400000","32.200000000000000000","67.800000000000000000","955.100000","49990","71460","105660","154260","","N/A","N/A"
"111000","Top Executives","3","Management","2691.500000","2844.800000","153.400000","5.7000","59.700000","176.000000","235.700000","25.300000000000000000","74.700000000000000000","251.100000","43710","65910","103230","163970","","N/A","N/A"
"111011","Chief Executives","5","Management","263.200000","248.800000","-14.400000","-5.5000","6.800000","11.400000","18.200000","37.400000000000000000","62.600000000000000000","16.800000","62290","112790","184460","","","Bachelor's degree","5 years or more"
"111021","General and Operations Managers","5","Management","2376.400000","2541.400000","165.000000","6.9000","51.600000","162.000000","213.600000","24.200000000000000000","75.800000000000000000","230.000000","45050","65660","100780","157430","","Bachelor's degree","5 years or more"
"111031","Legislators","5","Management","51.900000","54.600000","2.700000","5.2000","1.300000","2.700000","4.000000","32.500000000000000000","67.500000000000000000","4.300000","17690","19070","29270","75520","100470","Bachelor's degree","Less than 5 years"
"112000","Advertising, Marketing, Promotions, Public Relatio","3","Management","773.700000","822.400000","48.700000","6.3000","16.400000","54.300000","70.700000","23.200000000000000000","76.800000000000000000","75.500000","63940","89380","128870","179010","","N/A","N/A"
"112011","Advertising and Promotions Managers","5","Management","27.600000","28.400000",".900000","3.2000",".600000","2.100000","2.700000","22.200000000000000000","77.800000000000000000","2.700000","61930","86330","125510","175940","","Bachelor's degree","Less than 5 years"
"112020","Marketing and Sales Managers","3","Management","664.900000","706.400000","41.500000","6.2000","13.900000","46.900000","60.800000","22.900000000000000000","77.100000000000000000","65.000000","63900","90270","130700","181280","","N/A","N/A"
"112021","Marketing Managers","5","Management","259.200000","280.100000","20.900000","8.1000","5.500000","18.400000","23.900000","23.000000000000000000","77.000000000000000000","26.000000","71010","97710","136850","185320","","Bachelor's degree","5 years or more"
